統一編號,公司名稱,上市,500大
22822281,廣達電腦股份有限公司,1,1
22839564,慶富造船股份有限公司,0,1
22854522,佳醫健康事業股份有限公司,1,0
22928881,台端興業股份有限公司,1,0
22955774,華南永昌綜合證券股份有限公司,0,1
22956035,群益金鼎證券股份有限公司,1,1
22957301,富邦綜合證券股份有限公司,0,1
22958907,全國加油站股份有限公司,1,0
22959223,第一金證券股份有限公司,0,1
22960571,正文科技股份有限公司,1,0
22976047,聚隆纖維股份有限公司,1,0
22993144,定穎電子股份有限公司,1,0
23060541,聯強國際股份有限公司,1,1
23111915,凱基證券股份有限公司,0,1
23113054,宏普建設股份有限公司,1,0
23113343,永豐金證券股份有限公司,0,1
23113940,台灣櫻花股份有限公司,1,0
23116897,德勤投資股份有限公司,0,1
23145632,帆宣系統科技股份有限公司,1,0
23163259,無敵科技股份有限公司,1,0
23206102,合機電線電纜股份有限公司,1,0
23218022,矽格股份有限公司,1,0
23218183,統一綜合證券股份有限公司,1,1
23218395,燁聯鋼鐵股份有限公司,0,1
23218873,錸德科技股份有限公司,1,1
23219346,為升電裝工業股份有限公司,1,0
23221384,中鋼碳素化學股份有限公司,1,0
23222476,泰盛投資股份有限公司,0,1
23225071,瀚宇博德股份有限公司,1,1
23225229,長榮航空股份有限公司,1,1
23248433,錩泰工業股份有限公司,1,0
23263551,日勝化工股份有限公司,1,0
23292535,德律科技股份有限公司,1,0
23307811,長華電材股份有限公司,1,0
23357403,光寶科技股份有限公司,1,1
23357868,元富證券股份有限公司,1,1
23358846,華固建設股份有限公司,1,0
23414349,谷崧精密工業股份有限公司,1,0
23416851,中國信託綜合證券股份有限公司,0,1
23418577,百揚投資股份有限公司,0,1
23446187,創見資訊股份有限公司,1,1
23473986,長春投資股份有限公司,0,1
23474649,兆豐證券股份有限公司,0,1
23475561,亞旭電腦股份有限公司,0,1
23503047,上銀科技股份有限公司,1,0
23504361,達運精密工業股份有限公司,1,1
23525871,新光三越百貨股份有限公司,0,1
23527104,台灣國際航電股份有限公司,0,1
23528103,敦南科技股份有限公司,1,0
23528130,裕融企業股份有限公司,1,0
23534301,大毅科技股份有限公司,1,0
23535435,欣興電子股份有限公司,1,1
23535744,國票綜合證券股份有限公司,0,1
23542766,信邦電子股份有限公司,1,0
23556563,廣隆光電科技股份有限公司,1,0
23572557,玉晶光電股份有限公司,1,0
23588039,毅嘉科技股份有限公司,1,0
23603284,瑞智精密股份有限公司,1,1
23609668,聚陽實業股份有限公司,1,0
23611974,圓剛科技股份有限公司,1,0
23621614,崇越科技股份有限公司,1,0
23632274,瀚荃股份有限公司,1,0
23632773,雃博股份有限公司,1,0
23638777,華碩電腦股份有限公司,1,1
23640801,所羅門股份有限公司,1,0
23641822,鄉林建設事業股份有限公司,1,1
23707801,鴻準精密工業股份有限公司,1,1
23722471,台灣表面黏著科技股份有限公司,1,0
23750095,柏承科技股份有限公司,1,0
23751545,岱宇國際股份有限公司,1,0
23821182,凌陽科技股份有限公司,1,1
23824511,康和綜合證券股份有限公司,0,1
23826200,映泰股份有限公司,1,0
23826736,福懋科技股份有限公司,1,1
23826861,精碟科技股份有限公司,0,1
23829868,訊連科技股份有限公司,1,0
23912057,本盟光電股份有限公司,1,0
23983947,同泰電子科技股份有限公司,1,0
23986016,遠雄悅來大飯店股份有限公司,1,0
23986634,台朔重工股份有限公司,0,1
23988653,皇鼎建設開發股份有限公司,1,0
24004006,三陽工業股份有限公司,1,1
24060203,國產建材實業股份有限公司,1,1
24284436,群光電能科技股份有限公司,1,0
24483414,承業生醫投資控股股份有限公司,1,0
24790031,環電股份有限公司,0,1
24991987,合發土地開發股份有限公司,0,1
25133560,頂安開發股份有限公司,0,1
25616876,新焦點汽車技術控股有限公司,1,0
25637751,慧洋海運股份有限公司,1,0
26064801,聚亨企業集團(泰國)大眾有限公司,1,0
26068617,亞洲塑膠再生資源控股有限公司,1,0
26153183,陽光能源控股有限公司,1,0
26264842,明輝環球企業有限公司,1,0
26320984,開曼康而富控股股份有限公司,1,0
26389569,中租控股股份有限公司,1,0
26392564,臻鼎科技控股股份有限公司,1,0
26594386,廣華控股有限公司,1,0
26595630,聯德控股股份有限公司,1,0
26644007,貿聯控股(BizLink Holding Inc.),1,0
26797925,茂林光電科技(開曼)股份有限公司,1,0
27093207,潤華染織廠股份有限公司,0,1
27227466,運鴻投資股份有限公司,0,1
27236155,國泰綜合證券股份有限公司,0,1
27242184,大眾全球投資控股股份有限公司,1,0
27253935,全國農業金庫股份有限公司,0,1
27329077,山林水環境工程股份有限公司,1,0
27335280,綠能科技股份有限公司,1,1
27340208,悅城科技股份有限公司,1,0
27365925,富邦媒體科技股份有限公司,1,0
27463361,合陽管理顧問股份有限公司,0,1
27527029,萬達通實業股份有限公司,0,1
27638046,晶心科技股份有限公司,1,0
27667787,海華科技股份有限公司,1,0
27717512,嘉威光電股份有限公司,1,0
27731057,昇陽光電科技股份有限公司,1,0
27757133,昱晶能源科技股份有限公司,1,1
27763753,新日光能源科技股份有限公司,1,1
27790294,奇美材料科技股份有限公司,1,1
27925265,台信電訊股份有限公司,0,1
27927067,弘鼎創業投資股份有限公司,0,1
27928328,大聯大投資控股股份有限公司,1,1
27932239,華創車電技術中心股份有限公司,0,1
27935073,富邦人壽保險股份有限公司,0,1
27946233,遠雄巨蛋事業股份有限公司,0,1
27989078,諧永投資股份有限公司,0,1
28006928,致伸科技股份有限公司,1,1
28064644,鈺邦科技股份有限公司,1,0
28069900,敦泰電子股份有限公司,1,0
28112646,新唐科技股份有限公司,1,0
28112694,隆達電子股份有限公司,1,1
28185226,台灣創新發展股份有限公司,0,1
28202098,開泰豐國際股份有限公司,0,1
28230046,達輝光電股份有限公司,0,1
28334226,光鋐科技股份有限公司,1,0
28357108,達興材料股份有限公司,1,0
28371951,台灣數位光訊科技股份有限公司,1,0
28421312,花旗(台灣)商業銀行股份有限公司,0,1
28421946,高明貨櫃碼頭股份有限公司,0,1
28428379,臺灣金融控股股份有限公司,0,1
28428384,臺銀人壽保險股份有限公司,0,1
28428722,圓展科技股份有限公司,1,0
28440795,富敦開發股份有限公司,0,1
28455902,新易股份有限公司,0,1
28468548,台灣固網股份有限公司,0,1
28518076,台灣美光記憶體股份有限公司,0,1
28580346,安集科技股份有限公司,1,0
28674272,復盛股份有限公司,0,1
28675574,太極能源科技股份有限公司,1,0
28689155,和碩聯合科技股份有限公司,1,1
28696894,億豐綜合工業股份有限公司,1,0
28754606,大成國際鋼鐵股份有限公司,0,1
28823511,達能科技股份有限公司,1,0
28865032,旭隼科技股份有限公司,1,0
28982926,聯電新投資事業股份有限公司,0,1
28986660,燦星網通股份有限公司,1,0
28990720,?豐(台灣)商業銀行股份有限公司,0,1
28990860,合作金庫人壽保險股份有限公司,0,1
28991447,欣光華股份有限公司,0,1
28993629,欣陸投資控股股份有限公司,1,1
28996610,大陸建設股份有限公司,0,1
28997300,元晶太陽能科技股份有限公司,1,1
28999503,合勤投資控股股份有限公司,1,1
28999969,龍燈環球農業科技有限公司,1,0
29068963,頂基開發股份有限公司,0,1
29068984,中外古今股份有限公司,0,1
29508603,尚志資產開發股份有限公司,0,1
29538509,高林股份有限公司,1,0
30414175,中國鋼鐵股份有限公司,1,1
30435973,飛宏科技股份有限公司,1,0
30897480,銘異科技股份有限公司,1,0
30899261,成霖企業股份有限公司,1,0
30900892,冠德建設股份有限公司,1,1
30901647,辛耘企業股份有限公司,1,0
30922431,零壹科技股份有限公司,1,0
30929883,揚博科技股份有限公司,1,0
30950652,友通資訊股份有限公司,1,0
30955404,金像電子股份有限公司,1,1
30965368,金鑫投資股份有限公司,0,1
31275691,三商電腦股份有限公司,1,0
31306250,歐格電子工業股份有限公司,1,0
31618486,科嘉(開曼)股份有限公司,1,0
31659649,世芯電子股份有限公司,1,0
31896684,鼎固控股有限公司,1,0
31912805,鎧勝控股有限公司,1,0
31922986,眾達科技股份有限公司,1,0
33020007,大陸工程股份有限公司,0,1
33029464,中興電工機械股份有限公司,1,1
33085508,正隆股份有限公司,1,1
33144175,怡華實業股份有限公司,1,0
33259508,國光生物科技股份有限公司,1,0
33284077,華城電機股份有限公司,1,0
33375909,新麗企業股份有限公司,1,0
33428716,欣巴巴事業股份有限公司,1,0
33653494,聯發紡織纖維股份有限公司,1,0
33659498,盛達電業股份有限公司,1,0
33665843,欣欣天然氣股份有限公司,1,0
